distv_env,distv_num,Type
4.968526432,0.446209502,vOTUs
11.18647432,0.46517002,vOTUs
11.84234084,0.478908414,vOTUs
12.81519697,0.639026221,vOTUs
9.690993095,0.71971636,vOTUs
11.71659413,0.574963282,vOTUs
11.77469228,0.4598268,vOTUs
24.71144128,0.431889539,vOTUs
25.75067702,0.500477782,vOTUs
25.69985146,0.493414051,vOTUs
23.84967417,0.454867991,vOTUs
23.66817871,0.479711438,vOTUs
25.6835824,0.519581325,vOTUs
26.86568097,0.505728821,vOTUs
27.52755775,0.527323607,vOTUs
29.11423333,0.53525905,vOTUs
28.86287403,0.415476457,vOTUs
29.96124053,0.398830268,vOTUs
28.95239453,0.400414162,vOTUs
14.16993342,0.457257863,vOTUs
14.91459675,0.452844343,vOTUs
14.65614711,0.553480101,vOTUs
15.58622519,0.41053834,vOTUs
16.58046675,0.43700824,vOTUs
14.12121925,0.381525961,vOTUs
5.424354992,0.43675961,vOTUs
4.350626015,0.617359307,vOTUs
5.09267719,0.338258866,vOTUs
3.870617132,0.39550757,vOTUs
6.296732515,0.386050918,vOTUs
5.490014431,0.377008543,vOTUs
2.70159475,0.725536929,vOTUs
2.405591629,0.633803034,vOTUs
2.085322803,0.433699449,vOTUs
1.846466564,0.615838248,vOTUs
1.83783236,0.577758955,vOTUs
14.08788957,0.7904919,vOTUs
15.02502059,0.792921053,vOTUs
15.06075264,0.615667842,vOTUs
13.05762509,0.562841392,vOTUs
13.04527711,0.606417841,vOTUs
15.06930555,0.685835372,vOTUs
16.12268404,0.693587309,vOTUs
17.11551493,0.483490142,vOTUs
18.1836974,0.514863928,vOTUs
18.14582381,0.534590455,vOTUs
19.17847273,0.510553901,vOTUs
18.1591006,0.604213129,vOTUs
3.53455534,0.520864187,vOTUs
4.171663137,0.471464687,vOTUs
4.525733695,0.421408343,vOTUs
6.040195817,0.382907444,vOTUs
6.292056358,0.474546793,vOTUs
3.194992352,0.428201368,vOTUs
7.24944619,0.475805122,vOTUs
7.418432703,0.377393024,vOTUs
8.307035923,0.392507575,vOTUs
7.425096011,0.416686748,vOTUs
6.43683706,0.399818295,vOTUs
6.316609053,0.396914389,vOTUs
3.422863617,0.642315501,vOTUs
3.669029239,0.443534543,vOTUs
3.410801973,0.640065232,vOTUs
3.89305891,0.610625165,vOTUs
14.45779139,0.712594696,vOTUs
15.19544872,0.766951258,vOTUs
15.34544175,0.587248175,vOTUs
13.11830473,0.608903388,vOTUs
13.36066565,0.656398559,vOTUs
15.32061947,0.711877282,vOTUs
16.04394526,0.665007347,vOTUs
17.40417336,0.512735902,vOTUs
18.12596268,0.566514639,vOTUs
18.0160821,0.590769351,vOTUs
19.01380662,0.58339513,vOTUs
18.01675624,0.642734731,vOTUs
3.553645361,0.455274109,vOTUs
4.799379081,0.462616417,vOTUs
5.204708692,0.43410491,vOTUs
6.662737433,0.464468415,vOTUs
6.852854165,0.519674374,vOTUs
3.48294823,0.457552568,vOTUs
7.207153126,0.475319701,vOTUs
7.896427535,0.383069117,vOTUs
8.170735046,0.431113874,vOTUs
8.108713314,0.475364451,vOTUs
6.285318823,0.450432656,vOTUs
6.752429885,0.478459694,vOTUs
3.166378556,0.566090535,vOTUs
1.186929375,0.650184788,vOTUs
1.530809624,0.618870658,vOTUs
12.21496123,0.567433539,vOTUs
13.07891013,0.692874449,vOTUs
13.09883281,0.556649501,vOTUs
