	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2104_contig_18349129	2.214126795	1.494301097	3.2511876	1.835490393	6.801721666	15.36581583	7.041750846	21.19119629	8.658123727	9.602820839	14.68664248	11.84705654	10.78921378	5.198432195	6.56869606	11.84423964	14.22143056	15.02440875	13.96161988	17.8454603	13.67277211	12.56599519	22.41582155	17.52957404	4.201563788	8.680405517	8.840694783	20.90501791	13.46537819	3.648075618	7.965849169	5.585879245	8.22768601	13.69796454	9.133109602	27.54888912
QD_2104_contig_1839944	10.42511612	7.164937208	4.838639621	8.76792669	15.5175831	12.4400027	101.7536154	47.39340108	23.87170782	20.12167663	30.95132436	42.33824765	119.1067747	73.60875008	22.92097588	49.05284052	48.17975228	96.9623069	82.33684677	27.92973009	51.99460856	71.50517861	77.65396128	114.2173214	13.07931447	39.41305924	6.093740825	45.32876665	58.47584299	58.70616396	30.69261284	6.87294215	62.36126244	31.34542779	36.65420329	53.98625714
QD_2104_contig_18437433	8.160379834	30.131402	7.913798895	20.25298269	27.75074465	18.56138404	9.284084916	21.0008081	13.8324987	26.68180775	19.34988509	52.41638513	20.58581823	16.25044158	18.1468009	39.55703507	36.13873266	34.03369044	15.84178257	17.07771004	28.35299392	25.96943053	27.16247913	33.26371788	16.7422496	23.51690868	21.34704192	38.44217446	55.65695394	44.4775348	42.4649138	19.86127052	26.67422733	22.1840457	22.48908466	31.35908697
QD_2104_contig_18489212	2.377997407	2.042773638	1.328055408	1.732293408	5.291505915	3.561791549	10.39921599	5.08326457	5.076827836	3.294724659	5.935648567	6.669819097	15.77297183	9.510084848	7.213262587	7.88140149	8.23015641	7.048386884	7.109778322	6.465726608	2.983124598	4.812077458	5.838390506	4.771221973	3.529038844	3.826475148	9.426235606	2.194847345	5.604639095	9.936381961	6.585970269	3.788795812	3.421913539	2.250992999	3.891073899	2.003945606
QD_2104_contig_18680225||full	2.785252902	5.690975189	2.055610057	4.286336047	1.837999986	1.199596246	2.478447378	0.132003714	0.225806901	3.065711501	4.240590805	2.491811509	2.288648113	1.35428197	1.519387863	5.901500006	4.147107205	4.028170936	4.332360466	6.941021236	3.87094444	4.785348444	6.491458334	9.057804041	5.557144657	3.446208185	11.68183502	3.281845013	8.105412121	15.21816234	3.863125102	9.823761135	14.98592172	15.66772113	12.9207426	9.207863822
QD_2104_contig_18701085	0.871650522	2.923877876	0.693102096	1.30633853	1.230864565	0.709618127	2.282023913	2.43873575	1.389244876	1.200136947	4.172487945	13.98747212	1.376652255	2.05443397	0.863885438	11.75191977	9.349754567	4.95530086	1.889763418	1.384486634	4.094091761	1.659092416	4.853817907	7.023464982	0	0.716482578	0.983268414	6.205565027	11.72397638	21.22306383	0.733695906	1.641365794	1.877123696	0.117879543	1.71728008	2.397040489
QD_2104_contig_18790401||full_1	1.38849485	0.27781481	0	2.825658087	5.517573727	0.738013531	0.138918147	1.670650583	4.712316973	0.956517664	0.83883413	0.852726594	0.877355262	0.428944364	1.775211387	4.210590159	9.152177575	4.198040809	18.20873474	10.43607917	14.3173988	69.49604791	79.88232095	43.31354673	9.134911983	17.90328731	20.75595448	22.91335461	2.193565022	0.356680537	2.2262681	1.581943436	1.113266947	2.372327296	1.082949366	2.100654499
QD_2104_contig_18869884||full	25.12232208	8.859423592	9.046564146	21.50336444	36.11588639	12.94272707	21.64885125	12.15809988	8.611390434	2.419617037	1.433733853	0.011948905	28.04780865	20.40674242	21.74121112	2.757149286	2.348169178	4.49576739	49.5653209	6.350293367	25.1919064	7.442389793	7.576853335	28.31872656	139.0490891	160.457529	48.58599583	1.164180408	0.264155828	0.333378838	51.19117561	9.515207945	0.107709471	0.467136104	2.702062175	0.460599403
QD_2104_contig_19018391	0	0	0	0	0	0.56184416	0.61879762	0.164905184	0.473452671	0	0	0	0.611914662	0.76941518	22.251742	0	0	0	2.977106544	0	0	0	0	0	56.87445821	0.648040043	0	0	0	0.081586998	0.459482133	0	0	0	0	0
QD_2104_contig_19097980||full_1	6.27155248	15.82107847	24.5329909	20.82065573	6.334330927	14.00302383	6.194726507	1.576923542	7.961627285	17.89485409	7.643472731	1.093532425	3.855935888	4.273805404	10.02576141	1.327839393	1.820412353	1.453249874	7.709583537	7.273759435	4.542947112	0.93951757	0	0.745621352	20.49071518	15.15356578	11.57784208	0.526848238	0.353338189	0	11.48241565	13.2464766	0	0.901084982	0	0
